tail;head;cost
Complex1290,SmallMolecule361,Complex1232;Complex1291,SmallMolecule362;1
Complex1291,Protein2916;Complex1293;1
Complex1293,SmallMolecule361,Complex1293;Complex1294,SmallMolecule362;1
Complex1297,Protein2986;Complex1298;1
Complex1299,SmallMolecule123,Complex1244;Complex1300,SmallMolecule124;1
Complex1300,SmallMolecule123,Protein2846;Complex1301,SmallMolecule124;1
Complex1301,Protein2991;Complex1302;1
Complex1302,SmallMolecule123,Complex1302;Complex1303,SmallMolecule124;1
Complex1304,SmallMolecule123,Complex1303;Complex1305,Protein3000,Protein3003,SmallMolecule124;1
Complex1306,SmallMolecule361,Protein3013;Complex1308,Complex1309,PhysicalEntity137,SmallMolecule362;1
Complex1308,SmallMolecule361,Complex1311;Complex1312,Protein3007,SmallMolecule362;1
Complex1312,SmallMolecule361,Complex1232;Complex1316,SmallMolecule362;1
Complex1320,Complex7260,Complex7261;Complex7262;1
Complex1320,PhysicalEntity23,Complex7263;Complex1332;1
Complex1320,PhysicalEntity23;Complex1332;1
Complex132,SmallMolecule125,Complex132;Complex133,SmallMolecule133;1
Complex1330,Complex8162;Complex8163;1
Complex1330,Protein1844,Protein8849,Protein8850,Protein8851,Protein8852;Complex4360;1
Complex1330,Protein7664;Complex3503;1
Complex1333,SmallMolecule123,Protein2846;Complex1335,SmallMolecule124;1
Complex1335;Complex1338,PhysicalEntity116,Protein3121;1
Complex1338,SmallMolecule330,Protein3123;Complex1340,SmallMolecule328;1
Complex133,Complex135,Complex136;Complex137;1
Complex1342,SmallMolecule123,Complex1244;Complex1345,SmallMolecule124;1
Complex1345,SmallMolecule123,Protein2846;Complex1346,SmallMolecule124;1
Complex1346,SmallMolecule138,Complex1346;Complex1348,SmallMolecule134;1
Complex1348,Complex1362;Complex1363;1
Complex1350,SmallMolecule123,Complex1352;Complex1351,SmallMolecule124;1
Complex1350,SmallMolecule123,Complex1244;Complex1357,SmallMolecule124;1
Complex1351,SmallMolecule138,PhysicalEntity139;Complex1350,SmallMolecule134;1
Complex1352,Protein8167,SmallMolecule123,Complex1352;Complex5943,SmallMolecule124;1
Complex1358;Complex1099,Protein2628;1
Complex1358,Protein3146;Complex1359;1
Complex1359,Protein1716,Complex1358;Complex1360;1
Complex1360,Complex1048;Complex1358,Protein1716;1
Complex1363;Complex1365,Complex1367,Protein3121;1
Complex1365,Protein3159,SmallMolecule330,Protein3123;Complex1368,Protein3112,Protein3118,Protein3156,Protein3157,Protein3158,SmallMolecule328;1
Complex136,Complex140,Protein445;Complex162;1
Complex137,Protein385;Complex115,Complex131,Complex139,Complex140,Protein376,Protein380;1
Complex1370,SmallMolecule138,Complex1372,Protein3160;Complex1371,SmallMolecule134;1
Complex1371,Complex1373,PhysicalEntity137,Protein3007;Complex1306;1
Complex1372,Complex5170,Protein10489,Protein10490,Protein10491;Complex5171;1
Complex1381,Protein2610;Complex1088;1
Complex1384,SmallMolecule361,Complex1232;Complex1385,SmallMolecule362;1
Complex1384,SmallMolecule361,Protein2916;Complex1386,SmallMolecule362;1
Complex1390,Protein1716,Complex1041;Complex1391;1
Complex1391,Complex1048;Complex1041,Protein1716,Protein3183;1
Complex1392,Complex1232;Complex877;1
Complex1392,Protein2916;Complex877;1
Complex1394,Protein1716,Complex1100;Complex1395;1
Complex1395,Complex1048;Complex1100,Protein1716,Protein2839;1
Complex1396,Protein1716,Complex1396;Complex1397;1
Complex1397;Complex1100,Protein1716;1
Complex1399,Protein1716,Complex1358;Complex1400;1
Complex139,Complex141;Complex135,Complex136,Complex142,Complex158;1
Complex13,Complex14;Complex15;1
Complex13,Complex18;Complex19;1
Complex1400;Complex1358,Protein1716,Protein2839;1
Complex1401,Protein3191;Complex1402;1
Complex1402,Protein1716,Complex1402;Complex1403;1
Complex1403,Complex1048;Complex1401,Protein1716;1
Complex1404,Complex1048;Complex1401,Protein1716;1
Complex1405,Complex1130;Complex877,Protein1739;1
Complex1407,Complex1408;Complex1410;1
Complex1410,Complex1411;Complex1413;1
Complex1413,Protein2022,Protein2037;Complex1414;1
Complex1414,Complex1417;Complex1407,Complex1416,Complex1418;1
Complex1419,SmallMolecule466;Complex1420;1
Complex1420;Complex1421;1
Complex1421,SmallMolecule455,SmallMolecule456,SmallMolecule457,SmallMolecule458,Complex1419;Complex1422;1
Complex1422;Complex1423;1
Complex1422,SmallMolecule455,SmallMolecule456,SmallMolecule457,SmallMolecule458,Complex1419;Complex1424;1
Complex1424;Complex1419,SmallMolecule468;1
Complex1425,SmallMolecule451,Complex1149;Complex1148,Complex1427;1
Complex1427,SmallMolecule455,SmallMolecule456,SmallMolecule457,SmallMolecule458,Complex1149;Complex1428;1
Complex1430;Complex1171,Complex1431;1
Complex1432,SmallMolecule455,SmallMolecule456,SmallMolecule457,SmallMolecule458,Complex1176;Complex1433;1
Complex1433;Complex1434;1
Complex1434,Complex719;Complex1435;1
Complex1435,Protein2786;Complex1436;1
Complex1436;Complex1437,Complex719,Protein2786,SmallMolecule459,SmallMolecule460,SmallMolecule461,SmallMolecule462;1
Complex1437,Protein2787;Complex1438;1
Complex1438,Complex1184;Complex1439;1
Complex1439;Complex1173,Complex1176,Complex1440;1
Complex1440,Complex852,Complex854,Protein2077;Complex1441;1
Complex1440,Complex852,Complex854,Protein2077;Complex851;1
Complex1443,SmallMolecule432,Complex1442;Complex1444,SmallMolecule433;1
Complex1445,PhysicalEntity64,Complex1445;Complex1446;1
Complex1446,Complex1448;Complex1447,PhysicalEntity144;1
Complex1449,Complex719,PhysicalEntity144,Protein1851,Protein2673,Protein3229,Protein3230,Protein3231,Protein3232,Protein3234,Protein3235;Complex1450;1
Complex1449,SmallMolecule361,Complex3228;Complex3227,SmallMolecule362;1
Complex1450,PhysicalEntity64,Complex1453,Complex1450;Complex1452;1
